degree,num
4,1
6,9
7,16
8,32
9,86
10,147
11,223
12,312
13,483
14,590
15,729
16,804
17,945
18,886
19,942
20,884
21,703
22,624
23,462
24,361
25,261
26,177
27,120
28,98
29,44
30,24
31,17
32,4
33,6
34,7
35,2
37,1
