degree,num
6,1
7,6
8,21
9,51
10,119
11,274
12,434
13,796
14,1314
15,1991
16,3037
17,4048
18,5178
19,6264
20,7327
21,7910
22,8296
23,8227
24,8034
25,7271
26,6388
27,5523
28,4632
29,3577
30,2837
31,2016
32,1477
33,1047
34,700
35,482
36,280
37,186
38,101
39,59
40,31
41,33
42,12
43,12
44,4
45,2
46,1
51,1
