degree,num
0,1
5,28550
6,17867
7,12016
8,8260
9,6070
10,4508
11,3505
12,2658
13,2232
14,1789
15,1436
16,1287
17,1025
18,837
19,787
20,639
21,568
22,478
23,470
24,382
25,357
26,332
27,261
28,254
29,219
30,198
31,193
32,183
33,146
34,125
35,137
36,112
37,91
38,109
39,97
40,84
41,83
42,88
43,65
44,79
45,62
46,61
47,60
48,51
49,50
50,43
51,40
52,38
53,32
54,35
55,29
56,37
57,38
58,18
59,30
60,26
61,26
62,18
63,25
64,21
65,20
66,11
67,16
68,21
69,11
70,19
71,11
72,19
73,16
74,12
75,15
76,9
77,12
78,8
79,13
80,6
81,11
82,10
83,12
84,13
85,11
86,11
87,8
88,6
89,11
90,4
91,11
92,4
93,6
94,15
95,8
96,7
97,8
99,9
100,3
101,5
102,3
103,3
104,6
105,6
106,9
107,8
108,2
109,4
110,4
111,6
112,3
113,2
114,5
115,2
116,4
117,7
118,3
119,2
120,3
121,3
122,5
123,2
125,5
126,4
127,6
128,1
129,1
130,2
131,2
132,3
133,7
134,3
135,2
137,1
138,1
139,3
141,1
142,1
143,1
144,2
145,2
146,2
147,3
148,2
149,2
151,2
153,2
154,2
155,2
156,2
157,1
158,3
159,2
160,1
161,4
162,1
163,1
164,1
166,1
167,1
169,3
173,1
174,1
176,1
177,1
179,1
181,1
183,3
184,1
185,1
187,2
189,1
190,2
191,1
193,2
194,2
195,3
198,2
199,2
201,2
202,1
204,1
205,1
208,2
209,1
210,1
211,1
214,1
216,1
217,1
220,2
222,2
224,1
226,2
229,2
230,1
234,2
235,1
236,1
239,1
240,2
243,1
245,1
248,1
252,1
254,2
255,1
262,1
265,1
267,1
270,1
271,1
275,2
278,1
280,2
282,1
283,1
285,1
287,1
292,1
297,1
301,1
302,1
309,1
316,1
317,1
321,1
329,2
334,1
340,1
343,1
366,1
378,1
392,1
394,1
418,1
434,1
444,1
452,1
477,1
496,1
511,1
515,1
568,1
593,1
598,1
677,1
710,1
871,1
967,1
1749,1
