degree,num
3,1
4,3
5,2
6,13
7,24
8,31
9,57
10,73
11,86
12,107
13,115
14,115
15,90
16,93
17,56
18,57
19,25
20,17
21,16
22,11
23,4
24,2
26,1
28,1
